CTCB20,FctImp,LST,NDVI,CT20,BG20,CB20,PatchDensity,LandscapeShapeIndex,PerCoverGreen
9009012050,3.968750000000001,49915.60302197802,2743.34619140625,900901,9009012,2050,1.147835312e-06,4890.445774992931,0.645910381009719
9012091211,0.376582894993182,46084.04467409589,4727.2019140625,901209,9012091,1211,6.6944826e-08,62459.07337131891,0.979480853287222
9012091532,0.584172661870504,48698.30591168086,3974.4759216308594,901209,9012091,1532,1.645525423e-06,106432.25859063308,0.650632911392405
9012091537,0.652601969057665,48666.81912739318,3627.817321777344,901209,9012091,1537,7.41531576e-07,20060.291164432256,0.888813114559667
9001021078,0.0,50342.54737031702,2144.40380859375,900102,9001021,1078,2.97254619e-07,3915.960549495353,1.0
9001021102,0.063515201999167,50682.08416149072,2122.203113555908,900102,9001021,1102,2.1509307e-08,4894.443053811449,0.989686037163606
9001021070,0.029177718832891,50428.5386332417,2093.3653564453125,900102,9001021,1070,2.80598545e-07,4020.9745232109394,0.99535151128468
9001021061,0.060869565217391,50911.49710903086,2067.230712890625,900102,9001021,1061,2.24123293e-07,4257.509939374817,0.994117218620964
9001021062,0.0,50809.87486645296,2016.6538492838545,900102,9001021,1062,2.23174e-07,4546.752233850845,1.0
9012091312,0.433926771918039,48007.242100309195,4752.0398711350845,901209,9012091,1312,8.6726514e-08,128850.56913879715,0.956116367135708
9009012022,0.674182638105976,50392.852097602765,3202.205118815104,900901,9009012,2022,2.33982547e-07,7730.257081673414,0.936548193652187
9009011008,0.717073170731707,50457.45726102933,2144.307666015625,900901,9009011,1008,1.26771305e-07,4093.251777401588,0.935495319639768
9009012016,0.019553072625698,50050.65086805555,3297.1922607421875,900901,9009012,2016,2.84028956e-07,3913.3192344191034,0.998892320800937
9013001035,0.884615384615385,50642.18131868131,1735.15380859375,901300,9013001,1035,1.168913118e-06,3973.0241339302297,0.96550312810618
9800031041,1.407881773399015,50486.52410979232,1300.5615112304688,980003,9800031,1041,1.02441903e-07,4594.834599539948,0.926001900210765
9800031019,0.00099173553719,50728.28782242054,1547.0076965332028,980003,9800031,1019,3.4533854e-08,3694.224207787228,1.0
9012091150,3.863636363636365,49840.39085820897,3464.884521484375,901209,9012091,1150,1.0709676982e-05,48595.68196284562,0.275466503517895
9012091408,0.0,49612.697029148,2800.384521484375,901209,9012091,1408,4.44675938e-07,4465.073734648844,1.0
9001021064,0.0,50476.29201902745,2288.7211303710938,900102,9001021,1064,2.19116907e-07,5382.356784056825,1.0
9012091116,4.010869565217392,49657.064950980384,3512.8076171875,901209,9012091,1116,3.274658666e-06,17090.86866669417,0.499659131193586
9012091235,57.1282051282051,45634.49277001096,3876.269287109375,901209,9012091,1235,8.77472242e-07,2105138.246008784,0.00010968039134
9009021092,2.617571059431524,48787.398118622456,3293.6346435546875,900902,9009021,1092,2.75104333e-07,4385.958048539343,0.811168273793967
9012091397,0.424962382196879,49694.4211264822,3279.191290604441,901209,9012091,1397,9.78974683e-07,639729.131901489,0.753083420880398
8003385000,39.20689655172416,44520.562794306505,5160.3076171875,800338,8003385,5000,0.0,,0.0
4303011012,36.87323943661973,43732.01568603517,5947.0,430301,4303011,1012,0.0,,0.0
1289103023,56.29166666666667,44461.914229910726,3977.230712890625,128910,1289103,3023,0.0,,0.0
4303014008,49.91666666666666,44419.53700086806,5162.46142578125,430301,4303014,4008,0.0,,0.0
4616003006,58.769230769230774,43850.11320312501,5033.4228515625,461600,4616003,3006,0.0,,0.0
1413032001,74.92307692307695,44930.10861073369,4039.615478515625,141303,1413032,2001,0.0,,0.0
1380003000,41.74603174603176,45236.8859126984,5167.5,138000,1380003,3000,0.0,,0.0
4041004004,55.5,44833.53689236111,3369.230712890625,404100,4041004,4004,0.0,,0.0
4045031021,51.90909090909091,44703.70491536458,3515.269287109375,404503,4045031,1021,0.0,,0.0
4018021009,49.25000000000001,44850.48643092105,4299.96142578125,401802,4018021,1009,0.0,,0.0
4314001013,60.962962962962955,45539.55799278846,3718.615478515625,431400,4314001,1013,0.0,,0.0
4003041000,58.37681159420288,44437.02731470728,4398.15380859375,400304,4003041,1000,0.0,,0.0
4012021021,54.97948717948719,44712.83421474357,3624.769287109375,401202,4012021,1021,0.0,,0.0
4012023009,57.000000000000014,44701.362597656254,3458.65380859375,401202,4012023,3009,0.0,,0.0
1943003001,32.245508982035915,42946.722895897256,5697.4228515625,194300,1943003,3001,0.0,,0.0
4089003026,51.68571428571428,44235.109074519234,3725.269287109375,408900,4089003,3026,0.0,,0.0
4012031012,57.8125,44706.322631835945,3109.15380859375,401203,4012031,1012,0.0,,0.0
4012031006,57.630630630630634,44636.6583643922,3188.84619140625,401203,4012031,1006,0.0,,0.0
4039022006,55.440000000000005,44624.013125,3448.5,403902,4039022,2006,0.0,,0.0
4003045004,50.578947368421055,44300.285817307704,4110.46142578125,400304,4003045,5004,0.0,,0.0
4801013001,54.33333333333333,44488.0938720703,3886.3461914062495,480101,4801013,3001,0.0,,0.0
4013114008,52.666666666666664,44109.685546875,4038.5,401311,4013114,4008,0.0,,0.0
2611023005,29.37499999999999,42803.69589326632,6069.9134521484375,261102,2611023,3005,8.43097988e-07,68121.89866195306,0.107593969510299
4805004027,55.70833333333334,43894.44466145834,4123.0,480500,4805004,4027,0.0,,0.0
2611031005,58.81818181818183,43276.083333333336,5703.884765625,261103,2611031,1005,0.0,,0.0
